Id_Asignatura,NombreAsignatura,Semestre
1,Resolucion de problemas en algebra,1
2,Formacion ciudadana,1
3,Fundamentos de base de datos,1
4,Introduccion a la programacion,1
5,Fundamentos de hardware y software,1
6,Administracion,2
7,Funciones y matrices,2
8,Programacion orientada a objeto,2
9,Bases de datos relacionales,2
10,Desarrollo agil,2
11,Sistemas operativos,2
12,Ingles I,3
13,Programacion Front End,3
14,Bases de datos estructurales,3
15,Diseño de sistemas,3
16,Electivo de tendencias del sector productivo y de servicios I,3
17,Taller de desarrollo de aplicaciones,3
18,Innovacion y emprendimiento I,4
19,Programacion Back End,4
20,Aplicaciones Moviles para IoT,4
21,Ingenieria de software,4
22,Electivo de tendencias del sector productivo y de servicios II,4
23,Taller de diseño y desarrollo de soluciones,4
